Plateau,avg_voltage,G_avg,n_candidate,interesting,R_unknown
344,0.9781844070848187,1.1943604433555873e-06,1,False,287.840255605972
345,0.9776725808965718,1.2403483622583886e-06,1,False,294.7476392615337
346,0.9771830589749567,1.2155320511755958e-06,1,False,301.3607839802115
347,0.9774534873503123,1.227071822152927e-06,1,False,297.7066415113103
348,0.979045724981383,1.1217448038160004e-06,1,False,276.23258684632054
349,0.97824015457275,1.1639268239455647e-06,1,False,287.08834826104055
350,0.9748891246642402,1.3476086321026521e-06,1,False,332.4389275548666
351,0.9784325386246113,1.177133631316075e-06,1,False,284.4941811989789
352,0.9767445494827958,1.2268632413587337e-06,1,False,307.2904102192527
353,0.9767684587827914,1.2546811792567334e-06,1,False,306.96696593273913
354,0.9719303676544994,1.5400570896900013e-06,1,False,372.7407020609934
355,0.9756358613272492,1.3060519797635651e-06,1,False,322.3061212694397
356,0.9762629024573258,1.2984659592355605e-06,1,False,313.80949074758064
357,0.9754977475448409,1.3250886196176337e-06,1,False,324.17908013427774
